"ID","Name","Date","Maximum.Wind","dLat","dLong","angle","direction"
"AL121886","            UNNAMED",18861021,60,10.1,17,30.7152941714429,"Northeast"
"AL011887","            UNNAMED",18870515,60,21.7,8.30000000000001,69.0687233018748,"North"
"AL021887","            UNNAMED",18870517,50,12.6,6.59999999999997,62.3540246362614,"Northeast"
"AL031887","            UNNAMED",18870611,35,11.5,-4.80000000000001,112.65523270868,"Northwest"
"AL041887","            UNNAMED",18870720,85,21.6,-26.8,141.132222497679,"Northwest"
"AL051887","            UNNAMED",18870730,50,11.5,-33.9,161.261366143662,"West"
"AL061887","            UNNAMED",18870814,105,33.6,29,49.2026795037194,"Northeast"
"AL071887","            UNNAMED",18870818,110,32.7,20.3,58.1681920181809,"Northeast"
"AL081887","            UNNAMED",18870901,90,27.8,46.5,30.8730700305421,"Northeast"
"AL091887","            UNNAMED",18870911,85,11.7,-42.6,164.642506576502,"West"
"AL101887","            UNNAMED",18870914,70,30.1,9.19999999999999,73.0043408049604,"North"
"AL111887","            UNNAMED",18871006,50,0.5,-12.9,177.780344446802,"West"
"AL121887","            UNNAMED",18871008,60,5.9,-1,99.6197277996989,"North"
"AL131887","            UNNAMED",18871009,75,27.5,-5.5,101.30993247402,"North"
"AL141887","            UNNAMED",18871010,75,13,0.899999999999977,86.0396881695417,"North"
"AL151887","            UNNAMED",18871015,90,17.7,-3.30000000000001,100.561010691196,"North"
"AL161887","            UNNAMED",18871029,70,21.8,85.6,14.28795312597,"East"
"AL171887","            UNNAMED",18871127,70,12.8,11.5,48.0622870854001,"Northeast"
"AL181887","            UNNAMED",18871204,70,26.2,22.8,48.9692634567195,"Northeast"
"AL191887","            UNNAMED",18871207,50,-2,-25.1,184.555775328754,"West"
"AL011888","            UNNAMED",18880616,70,3.8,-3.40000000000003,131.820169880136,"Northwest"
"AL021888","            UNNAMED",18880704,50,6,-1,99.4623222080256,"North"
"AL031888","            UNNAMED",18880814,110,32.2,18,60.7945384835648,"Northeast"
"AL041888","            UNNAMED",18880831,110,-1.3,-34.9,182.133240478615,"West"
"AL051888","            UNNAMED",18880906,50,22.3,6.89999999999998,72.8070415315012,"North"
"AL061888","            UNNAMED",18880923,70,23.5,15.8,56.0854643589201,"Northeast"
"AL071888","            UNNAMED",18881008,95,20.2,26.2,37.6319489283778,"Northeast"
"AL081888","            UNNAMED",18881101,50,27.7,14.7,62.0457371647255,"Northeast"
"AL091888","            UNNAMED",18881117,85,24.8,22.7,47.5314281416677,"Northeast"
"AL011889","            UNNAMED",18890516,70,16.9,-5.69999999999999,108.638124494388,"North"
"AL021889","            UNNAMED",18890615,65,22.7,22.5,45.253519493772,"Northeast"
"AL031889","            UNNAMED",18890819,70,22.2,-2.30000000000001,95.914946366431,"North"
"AL041889","            UNNAMED",18890901,90,25.1,-19.5,127.843363466939,"Northwest"
"AL051889","            UNNAMED",18890902,70,24.8,18.4,53.4269690214807,"Northeast"
"AL061889","            UNNAMED",18890912,95,33.8,-3.39999999999998,95.7441583237671,"North"
"AL071889","            UNNAMED",18890912,50,28.8,-22.8,128.367485384862,"Northwest"
"AL081889","            UNNAMED",18890929,60,29.1,-5.5,100.702847596159,"North"
"AL091889","            UNNAMED",18891005,50,43,27.2,57.6842676881065,"Northeast"
"AL011890","            UNNAMED",18900527,50,4.7,-1.80000000000001,110.955776730632,"North"
"AL021890","            UNNAMED",18900818,50,20,-28,144.462322208026,"Northwest"
"AL031890","            UNNAMED",18900826,105,45.9,28.7,57.9833977242093,"Northeast"
"AL041890","            UNNAMED",18901031,80,0.799999999999999,-5.19999999999999,171.253837737445,"West"
"AL011891","            UNNAMED",18910703,80,13.3,4.89999999999998,69.775140568832,"North"
"AL021891","            UNNAMED",18910817,65,30,-39.6,142.853313301978,"Northwest"
"AL031891","            UNNAMED",18910818,110,12.9,-26.8,154.296474557489,"Northwest"
"AL041891","            UNNAMED",18910902,85,40.4,14.9,69.7554264580674,"North"
"AL051891","            UNNAMED",18910916,85,22,6.80000000000001,72.8240963842532,"North"
"AL061891","            UNNAMED",18910929,85,36.1,29.1,51.1279146523066,"Northeast"
"AL071891","            UNNAMED",18911004,45,22.8,14,58.4486150516865,"Northeast"
"AL081891","            UNNAMED",18911007,55,35,32.8,46.8585029996111,"Northeast"
"AL091891","            UNNAMED",18911012,75,36,3.80000000000001,83.9744249916333,"North"
"AL101891","            UNNAMED",18911103,50,17.5,24.8,35.2085214388966,"Northeast"
"AL011892","            UNNAMED",18920609,45,12.7,7.10000000000002,60.7924035288572,"Northeast"
"AL021892","            UNNAMED",18920815,65,42.9,26.2,58.5866440545271,"Northeast"
"AL031892","            UNNAMED",18920903,85,32.8,21.5,56.755647368753,"Northeast"
"AL041892","            UNNAMED",18920908,50,38.3,40.9,43.1197531961899,"Northeast"
"AL051892","            UNNAMED",18920912,85,22.9,-22.4,134.367621932025,"Northwest"
"AL061892","            UNNAMED",18920925,50,4.8,-5.69999999999999,139.899092453788,"Northwest"
"AL071892","            UNNAMED",18921005,85,10.2,-41.8,166.286728193047,"West"
"AL081892","            UNNAMED",18921013,80,20.2,26.3,37.526455041011,"Northeast"
"AL091892","            UNNAMED",18921021,45,14.5,26.6,28.595365941469,"Northeast"
"AL011893","            UNNAMED",18930612,65,25.4,41.2,31.6540337299386,"Northeast"
"AL021893","            UNNAMED",18930704,85,7.9,-13.3,149.290325081818,"Northwest"
"AL031893","            UNNAMED",18930813,105,41,16.6,67.9580554888214,"North"
"AL041893","            UNNAMED",18930815,100,36,-14.9,112.484120018577,"North"
"AL051893","            UNNAMED",18930815,85,19.5,15.9,50.8067269055316,"Northeast"
"AL061893","            UNNAMED",18930815,105,35.8,-18.9,117.831050177473,"Northwest"
"AL071893","            UNNAMED",18930820,85,30.3,5.59999999999997,79.5288382377968,"North"
"AL081893","            UNNAMED",18930904,85,16.7,-3.19999999999999,100.847346842953,"North"
"AL091893","            UNNAMED",18930925,105,45.4,-41,132.084677883357,"Northwest"
"AL101893","            UNNAMED",18930927,115,18.6,11.3,58.720194304217,"Northeast"
"AL111893","            UNNAMED",18931020,50,22,4,79.695153531234,"North"
"AL121893","            UNNAMED",18931105,60,14.3,32.9,23.4921973554811,"Northeast"
"AL011894","            UNNAMED",18940606,35,2,-8.60000000000002,166.908106935653,"West"
"AL021894","            UNNAMED",18940805,50,5.3,-2.19999999999999,112.543061000058,"Northwest"
"AL031894","            UNNAMED",18940830,100,40.8,-0.899999999999977,91.2636725516582,"North"
"AL041894","            UNNAMED",18940918,105,27.8,-17.1,121.596001688492,"Northwest"
"AL051894","            UNNAMED",18941001,105,43.8,15.6,70.3959118491705,"North"
"AL061894","            UNNAMED",18941011,115,27.6,2.89999999999998,84.0018004889095,"North"
"AL071894","            UNNAMED",18941021,95,32,33.3,43.8594996097953,"Northeast"
"AL011895","            UNNAMED",18950814,50,6.6,3.40000000000003,62.7446716250567,"Northeast"
"AL021895","            UNNAMED",18950822,95,11.8,-41.2,164.017876040317,"West"
"AL031895","            UNNAMED",18950928,50,28.9,31.6,42.4446938094769,"Northeast"
"AL041895","            UNNAMED",18951002,35,15,-9.70000000000005,122.889402232346,"Northwest"
"AL051895","            UNNAMED",18951012,90,22,6,74.7448812969422,"North"
"AL061895","            UNNAMED",18951013,35,8.2,15.1,28.5040115218115,"Northeast"
