"ID","Name","Date","Maximum.Wind","dLat","dLong","angle","direction"
"EP151971","             OLIVIA",19710920,100,16.5,-27.8,149.309802140231,"Northwest"
"EP161971","          PRISCILLA",19711006,110,12.1,-13.9,138.960311830458,"Northwest"
"EP171971","             RAMONA",19711028,50,5.4,-8.00000000000003,145.980650010174,"Northwest"
"EP181971","             SHARON",19711125,35,1.5,-11,172.234833981575,"West"
"EP011972","            ANNETTE",19720601,75,7.9,6.30000000000001,51.4287477488298,"Northeast"
"EP021972","              BONNY",19720727,45,3.3,-10.8,163.009176708014,"West"
"EP031972","            CELESTE",19720806,115,6.7,-53.2,172.821968834386,"West"
"EP041972","              DIANA",19720811,95,10.3,-39.2,165.278022913926,"West"
"EP051972","            ESTELLE",19720815,70,17.1,-22.8,143.130102354156,"Northwest"
"EP061972","           FERNANDA",19720820,100,14.8,-51.9,164.083769675338,"West"
"EP071972","               GWEN",19720822,110,19.4,-22.9,139.730010832029,"Northwest"
"EP081972","           HYACINTH",19720828,110,23.2,-21.9,133.348915861716,"Northwest"
"EP091972","                IVA",19720914,45,4.7,-25.9,169.714622025053,"West"
"CP011972","               JUNE",19720924,50,7.7,-13.4,150.117167654587,"Northwest"
"EP101972","             JOANNE",19720930,85,18.5,-8.09999999999999,113.645622635102,"Northwest"
"EP111972","           KATHLEEN",19721018,40,4.3,0.0999999999999943,88.6677801461304,"North"
"CP021972","               RUBY",19721111,110,12,-30.5,158.52320902046,"West"
"EP121972","               LIZA",19721113,45,-0.299999999999999,-5.19999999999999,183.301865674435,"West"
"EP011973","                AVA",19730602,140,5.5,-36.9,171.52239149297,"West"
"EP021973","            BERNICE",19730622,60,4.9,-4.89999999999998,135,"Northwest"
"EP031973","            CLAUDIA",19730626,55,7.6,-4.30000000000001,119.500724623499,"Northwest"
"EP041973","             DOREEN",19730718,120,8.8,-66.3,172.439323100809,"West"
"EP051973","              EMILY",19730721,120,8.7,-26,161.498966108906,"West"
"EP061973","           FLORENCE",19730725,80,7,-19.6,160.346175941947,"West"
"EP071973","             GLENDA",19730730,50,8.8,-23.9,159.786250861404,"West"
"EP081973","            HEATHER",19730831,45,2.5,-1,111.801409486352,"North"
"EP091973","               IRAH",19730922,95,13.7,-4.89999999999998,109.68031308969,"North"
"EP101973","           JENNIFER",19730923,35,12.8,8.59999999999999,56.1038334366361,"Northeast"
"EP111973","          KATHERINE",19730929,85,2,-39.4,177.094079000347,"West"
"EP121973","            LILLIAN",19731005,75,5.8,-16.2,160.30137862542,"West"
"EP011974","             ALETTA",19740528,50,5.8,-2.10000000000002,109.903749537308,"North"
"EP021974","             BLANCA",19740605,50,4.6,-9.69999999999999,154.628438246904,"Northwest"
"EP031974","             CONNIE",19740607,110,11.6,-8.69999999999999,126.869897645844,"Northwest"
"EP041974","            DOLORES",19740614,70,4.7,-1.89999999999998,112.011283197919,"North"
"EP051974","             EILEEN",19740702,35,4.9,-3.09999999999999,122.31961650818,"Northwest"
"EP061974","          FRANCESCA",19740714,65,11,-20,151.189206257027,"Northwest"
"EP071974","           GRETCHEN",19740717,85,10.7,-6.30000000000001,120.488940499831,"Northwest"
"EP081974","              HELGA",19740810,40,3,-14.9,168.616137528928,"West"
"EP091974","               IONE",19740820,100,4.8,-26.3,169.656815778834,"West"
"CP011974","              OLIVE",19740822,40,2.6,-19.1,172.248220845703,"West"
"EP101974","              JOYCE",19740822,75,5.5,-19.5,164.248826336547,"West"
"EP111974","            KIRSTEN",19740822,75,0.200000000000001,-2.40000000000001,175.236358309274,"West"
"EP121974","           LORRAINE",19740823,45,5.4,-5.30000000000001,134.464541014436,"Northwest"
"EP131974","             MAGGIE",19740826,120,8.7,-14.7,149.381394591091,"Northwest"
"EP141974","              NORMA",19740909,65,3.2,-0.100000000000023,91.7899106082465,"North"
"EP151974","             ORLENE",19740921,90,11.2,-7,122.005383208083,"Northwest"
"EP161974","           PATRICIA",19741006,80,6.6,-40.6,170.766676490723,"West"
"EP171974","            ROSALIE",19741021,55,-2.3,-6.69999999999999,198.946504689509,"West"
"EP011975","             AGATHA",19750602,70,6.2,-7.69999999999999,141.159163029143,"Northwest"
"EP021975","            BRIDGET",19750628,55,0,-12.3,180,"West"
"EP031975","           CARLOTTA",19750702,110,7.9,-28.4,164.455080658596,"West"
"EP041975","             DENISE",19750705,120,10,-24.6,157.878058028118,"West"
"EP051975","            ELEANOR",19750710,35,5,-3.80000000000001,127.234833981575,"Northwest"
"EP061975","           FRANCENE",19750727,45,1.2,-8.80000000000001,172.234833981575,"West"
"EP071975","          GEORGETTE",19750811,40,2.8,-11.8,166.651272886713,"West"
"EP081975","             HILARY",19750813,50,9.3,-16,149.832704389616,"Northwest"
"EP091975","               ILSA",19750818,90,7.9,-32.7,166.41814756407,"West"
"EP101975","              JEWEL",19750824,65,6.5,-28.7,167.23888483747,"West"
"EP111975","            KATRINA",19750829,115,11.1,-27.9,158.304890539203,"West"
"CP011975","            UNNAMED",19750831,65,23,9.5,67.5572466347056,"North"
"EP121975","               LILY",19750916,75,5.8,-22.3,165.420970648452,"West"
"EP131975","             MONICA",19750928,45,3.5,-9.5,159.775140568832,"West"
"EP141975","            NANETTE",19750928,45,1.2,-18,176.18592516571,"West"
"EP151975","             OLIVIA",19751022,100,9.9,2.29999999999998,76.9208762199333,"North"
"EP161975","          PRISCILLA",19751102,55,6,-17.5,161.075355583949,"West"
"EP011976","            ANNETTE",19760603,120,9.5,-20,154.592281891052,"Northwest"
"EP021976","              BONNY",19760626,65,0.199999999999999,-14.2,179.193070544898,"West"
"EP031976","            CELESTE",19760714,45,2.5,-31.3,175.433354394601,"West"
"EP041976","              DIANA",19760716,85,6.4,-44.4,171.797645755374,"West"
"EP051976","            ESTELLE",19760727,35,2.6,-7.90000000000001,161.782904802175,"West"
"EP061976","           FERNANDA",19760728,35,2.3,-20.5,173.59846375985,"West"
"EP071976","               GWEN",19760805,55,13.7,-52.9,165.480581208188,"West"
"EP081976","           HYACINTH",19760806,100,8.5,-38,167.391393206634,"West"
"EP091976","                IVA",19760824,115,11.9,-32.5,159.88960116331,"West"
"EP101976","             JOANNE",19760829,45,5.4,-32.3,170.508914852868,"West"
"EP111976","           KATHLEEN",19760907,70,23.5,-6.40000000000001,105.234486446293,"North"
"CP011976","               KATE",19760922,80,12.9,-11.9,132.690937210974,"Northwest"
"EP121976","               LIZA",19760925,120,15.8,-1.59999999999999,95.782392322364,"North"
"EP131976","           MADELINE",19760929,125,9,-11.5,141.952957468174,"Northwest"
"EP141976","              NAOMI",19761025,45,9.2,12.3,36.7952938084313,"Northeast"
"EP011977","                AVA",19770526,55,6.3,-1.69999999999999,105.101098161385,"North"
"EP021977","            BERNICE",19770625,35,7.1,-14.4,153.754142063997,"Northwest"
"EP031977","            CLAUDIA",19770703,80,1.7,-19.1,174.913778290365,"West"
"EP041977","             DOREEN",19770813,65,15.4,-12.1,128.157226587369,"Northwest"
"EP051977","              EMILY",19770913,35,5.5,-4.19999999999999,127.366669412769,"Northwest"
